,Node_Point,Supercharger_Coords,Distance
67,"(34.872578, -119.275627)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.79115027615665
68,"(34.869392, -119.259453)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.41311926159347
69,"(34.864986, -119.24823)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",46.93448801103571
70,"(34.86367, -119.230148)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",46.85249068500242
71,"(34.861454, -119.225098)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",46.63551510563161
72,"(34.858852, -119.201157)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",46.54577449405625
73,"(34.853127, -119.185753)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",46.0990141026185
74,"(34.851032, -119.173203)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",46.05137099475986
75,"(34.845623, -119.166397)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",45.572248985467276
76,"(34.851208, -119.161537)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",46.264997259740994
77,"(34.854149, -119.149117)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",46.8166493303803
78,"(34.861004, -119.135971)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.82906213100339
79,"(34.860439, -119.127617)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.954604679530426
80,"(34.852268, -119.106613)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.60653943210513
81,"(34.850628, -119.093521)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.799720217679365
82,"(34.842964, -119.084183)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.27756534511966
83,"(34.843109, -119.074203)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.610395238195956
84,"(34.839493, -119.05468)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.9066639181085
85,"(34.834503, -119.034859)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",48.144720020832345
86,"(34.822254, -119.008774)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",48.01539576199276
87,"(34.816818, -119.003647)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.715666568734655
88,"(34.820774, -118.983208)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",49.037649444163414
89,"(34.822243, -118.959938)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",50.307381937672226
90,"(34.821968, -118.946327)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",50.972061635138196
91,"(34.819786, -118.921043)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",49.430591274334475
92,"(34.81303, -118.893967)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.436743068073945
93,"(34.776604, -118.152977)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",53.148392962680205
94,"(34.776596, -118.17334)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",51.87149668933779
95,"(34.844505, -118.176468)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",57.48075265944955
96,"(34.814907, -118.176376)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",54.90554582597063
97,"(34.796314, -118.177727)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",53.243753465122424
98,"(34.773544, -118.800346)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",39.43739097164404
99,"(34.788544, -118.817177)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",41.60715809698333
100,"(34.797062, -118.833168)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",43.11294061437861
101,"(34.801971, -118.844368)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",44.074797369711305
102,"(34.808998, -118.868927)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",45.85806820979462
103,"(34.812603, -118.873993)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",46.438113165231165
104,"(34.773197, -118.782562)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",38.73131281265755
105,"(34.773743, -118.786369)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",38.925695528022544
106,"(34.773022, -118.790527)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",39.00727555458451
107,"(34.779484, -120.42157)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",19.278148999970984
108,"(34.772373, -120.421562)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",20.06562588681975
109,"(34.763111, -118.735687)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",36.17960322262876
110,"(34.764828, -118.749046)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",36.74920220942144
111,"(34.775429, -118.764229)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",38.33141567373601
112,"(34.763081, -118.722107)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",35.818572758152264
113,"(34.762936, -118.734306)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",36.12289909517718
114,"(34.776192, -118.209106)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",49.68598705695343
115,"(34.778515, -118.323647)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",43.9716108122181
116,"(34.779655, -118.429878)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",40.13065958021707
117,"(34.782192, -118.591316)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",36.66551935669339
118,"(34.782314, -118.62265)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",36.61317335314093
119,"(34.7817, -118.658127)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",36.74252586691296
120,"(34.78138, -118.666451)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",36.795138877824066
121,"(34.772694, -118.684036)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",36.08250286448959
122,"(34.764141, -118.709663)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",35.63995685181053
123,"(34.762909, -118.717117)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",35.678671032219846
124,"(34.756638, -118.792427)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",37.43257209373927
125,"(34.766399, -118.785744)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",38.15765751207372
126,"(34.768017, -118.783813)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",38.25001622161306
127,"(34.770672, -118.798851)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",39.09088497275809
128,"(34.7654, -118.797684)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",38.51714679652957
129,"(34.889149, -120.405167)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",7.5680273294939795
130,"(34.863083, -120.383583)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",11.002149989992166
131,"(34.831882, -120.356232)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",15.21791599639934
132,"(34.821472, -120.341377)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",16.888773033897525
133,"(34.798641, -120.327721)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",19.70712776633671
134,"(34.793507, -120.321968)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",20.46339337045855
135,"(34.784267, -120.306068)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",21.695329857657516
136,"(34.754864, -120.270538)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",17.289546716234437
137,"(34.752365, -120.265671)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",16.84816901903069
138,"(34.759808, -120.375008)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",22.10553551607038
139,"(34.76046, -120.34037)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",21.35233534299187
140,"(34.754883, -120.315742)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",19.455613208307344
141,"(34.752487, -120.301514)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",18.48207834834982
142,"(34.749214, -120.294724)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",17.835295619623807
143,"(34.74984, -120.278938)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",17.14863124988515
144,"(34.738777, -118.147652)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",50.57136419416091
145,"(34.721348, -118.146606)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",49.36246380400096
146,"(34.719982, -118.146027)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",49.304322040363765
147,"(34.703869, -120.15937)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",10.25826737843098
148,"(34.708664, -120.150681)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",10.996631772301747
149,"(34.742672, -120.129204)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",15.211832017425817
150,"(34.75457, -120.121048)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",16.712887586716835
151,"(34.764252, -120.119179)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",17.775768491941207
152,"(34.773819, -120.122307)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",18.67607895587077
153,"(34.77409, -120.139793)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",18.248964067689794
154,"(34.784817, -120.171257)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",18.952569950663445
155,"(34.798622, -120.19841)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",20.439593029989126
156,"(34.817318, -120.222427)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",22.708137772809945
157,"(34.819134, -120.232491)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",23.051285551157402
158,"(34.822041, -120.235657)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",23.26846858811393
159,"(34.84724, -120.246887)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",20.777074880680104
160,"(34.852291, -120.255966)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",19.77539325465358
161,"(34.854221, -120.261597)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",19.229912001053133
162,"(34.85968, -120.263474)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",18.747870240675656
163,"(34.862473, -120.261909)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",18.699000605860743
164,"(34.874886, -120.242393)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",19.57879429269693
165,"(34.88258, -120.237411)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",19.632735653370673
166,"(34.894634, -120.232323)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",19.57747924729985
167,"(34.914509, -120.226677)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",19.464469195379365
168,"(34.926128, -120.220734)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",19.758647873112313
169,"(34.933872, -120.223244)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",19.41888247935104
170,"(34.94582, -120.23204)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",18.515399477423333
171,"(34.950439, -120.230553)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",18.635951971602466
172,"(34.742622, -120.245941)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",15.154046031721029
173,"(34.716888, -120.171501)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",11.45672826415682
174,"(34.709076, -120.162338)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",10.75350871863328
175,"(34.703175, -118.160431)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.0940480986618
176,"(34.703613, -118.157753)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.31389156075595
177,"(34.701641, -118.139267)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",48.49537395275751
178,"(34.709198, -118.144051)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",48.67706921837368
179,"(34.701588, -118.143127)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",48.21401923556254
180,"(34.699619, -118.171272)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",46.0794081644821
181,"(34.702892, -118.16217)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",46.95155392206011
182,"(34.706718, -118.173027)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",46.46997470586913
183,"(34.695957, -120.154373)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",9.552904191359849
184,"(34.687714, -120.153511)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",8.722384326433637
185,"(34.681316, -118.135063)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.44907655230451
186,"(34.694073, -118.135277)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",48.2727885753419
187,"(34.678307, -118.13501)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",47.25906230794248
188,"(34.72287, -120.427597)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",25.00118510461662
189,"(34.730171, -120.429283)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",24.71684801608188
190,"(34.736927, -120.434273)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",23.962676292564815
191,"(34.743156, -120.432861)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",23.272158870351472
192,"(34.761982, -120.423912)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",21.205507531883104
193,"(34.766418, -120.421043)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",20.727907119317052
194,"(34.662628, -120.341591)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",15.024988820800328
195,"(34.663269, -120.353996)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",16.117044405287476
196,"(34.661846, -120.40934)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",20.926878328183303
197,"(34.660835, -120.421768)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",22.005542641151308
198,"(34.683998, -120.136192)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",9.068263604103667
199,"(34.673115, -120.120827)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",8.975562856630003
200,"(34.670498, -120.105217)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",9.831208015918046
201,"(34.666988, -120.098167)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",10.111869672519532
202,"(34.64043, -120.076157)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",10.684133452358436
203,"(34.621784, -120.058884)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",11.903750560748998
204,"(34.616425, -120.052307)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",12.482038157672779
205,"(34.610828, -120.192467)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",0.5580559431223414
206,"(34.616783, -120.192963)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",0.4867691040270538
207,"(34.622353, -120.190407)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",0.884131744686952
208,"(34.626095, -120.1875)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",1.282202453950139
209,"(34.630501, -120.18573)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",1.7851015091234828
210,"(34.664791, -120.171783)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",5.776538706148087
211,"(34.667618, -120.168831)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",6.15297275333012
212,"(34.673367, -120.158798)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",7.065252808657447
213,"(34.679253, -120.152367)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",7.8999620802039185
214,"(34.621899, -120.209213)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",2.076235909567232
215,"(34.624992, -120.22345)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",3.4174782287623855
216,"(34.625458, -120.232597)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",4.230824930946106
217,"(34.625961, -120.249519)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",5.747178316511339
218,"(34.626892, -120.258423)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",6.566895088782295
219,"(34.632282, -120.281601)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",8.771296746483936
220,"(34.658192, -120.319168)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",12.931365218384192
221,"(34.660385, -120.323143)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",13.360546396011502
222,"(34.662346, -120.336227)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",14.554835117215037
223,"(34.597645, -118.122864)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",43.665594349353626
224,"(34.608871, -120.178551)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",1.100967242540627
225,"(34.599087, -120.156036)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",3.428012098581075
226,"(34.596943, -120.149597)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",4.059369214684839
227,"(34.598518, -120.14135)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",4.666987994706893
228,"(34.609451, -120.105766)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",7.5989132739116085
229,"(34.609337, -120.100777)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",8.056192187216837
230,"(34.612282, -120.082619)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",9.703847168847574
231,"(34.613827, -120.055542)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",12.184092608695616
232,"(34.597969, -118.127998)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",43.30426525531846
233,"(34.596081, -118.135757)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",42.572235553004354
234,"(34.594856, -118.138573)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",42.28060272900056
235,"(34.692059, -118.170067)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",45.62827733854741
236,"(34.681561, -118.162193)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",45.46979944491859
237,"(34.673782, -118.159317)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",45.16053017164405
238,"(34.656136, -118.156891)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",44.208103624317836
239,"(34.61647, -118.155022)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",42.03748899476132
240,"(34.630947, -120.432747)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",22.482679857291057
241,"(34.618168, -120.430023)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",22.16457400062768
242,"(34.613121, -120.42981)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",22.142670682429735
243,"(34.605801, -120.420097)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",21.274402132956663
